symbol,slot,entry_date,entry_price,exit_date,exit_price,qty,currency,reason,days_held,gross_pnl,fees,net_pnl,net_pct
COST,1,2025-12-22,850.0,2026-01-02,854.5,1,USD,time,11,4.5,0.7003,3.7997,0.447
AAPL,2,2025-12-22,270.97,2026-01-02,271.01,1,USD,time,11,0.04,0.7003,-0.6603,-0.244
QCOM,3,2025-12-31,171.05,2026-01-05,176.31,1,USD,target,5,5.26,0.7003,4.5597,2.666
PEP,2,2026-01-02,142.23,2026-01-12,141.36,1,USD,time,10,-0.87,0.7003,-1.5703,-1.104
ADBE,2,2026-01-05,331.56,2026-01-13,309.93,1,USD,stop,8,-21.63,0.7003,-22.3303,-6.735
AAPL,3,2026-01-05,267.26,2026-01-15,258.21,1,USD,time,10,-9.05,0.7003,-9.7503,-3.648
ADBE,3,2026-01-13,309.93,2026-01-20,290.37,1,USD,stop,7,-19.56,0.7003,-20.2603,-6.537
NFLX,3,2026-01-12,89.41,2026-01-22,83.54,1,USD,stop,10,-5.87,0.7003,-6.5703,-7.348
NFLX,3,2026-01-22,83.54,2026-01-23,86.12,1,USD,target,1,2.58,0.7003,1.8797,2.25
MSFT,3,2026-01-15,456.66,2026-01-26,470.28,1,USD,time,11,13.62,0.7003,12.9197,2.829
AAPL,3,2026-01-20,246.7,2026-01-26,255.41,1,USD,target,6,8.71,0.7003,8.0097,3.247
UNH,3,2026-01-27,282.7,2026-01-28,294.02,1,USD,target,1,11.32,0.7003,10.6197,3.757
MA,2,2026-01-27,520.41,2026-01-29,543.73,1,USD,target,2,23.32,0.7003,22.6197,4.347
JPM,3,2026-01-23,297.72,2026-02-02,308.14,1,USD,target,10,10.42,0.7003,9.7197,3.265
CRM,2,2026-01-29,214.08,2026-02-03,196.38,1,USD,stop,5,-17.7,0.7003,-18.4003,-8.595
ORCL,3,2026-02-02,160.06,2026-02-04,146.67,1,USD,stop,2,-13.39,0.7003,-14.0903,-8.803
ORCL,3,2026-02-04,146.67,2026-02-05,136.48,1,USD,stop,1,-10.19,0.7003,-10.8903,-7.425
ORCL,3,2026-02-05,136.48,2026-02-06,142.82,1,USD,target,1,6.34,0.7003,5.6397,4.132
NFLX,3,2026-01-29,83.16,2026-02-09,81.47,1,USD,time,11,-1.69,0.7003,-2.3903,-2.874
CRM,3,2026-02-03,196.38,2026-02-11,185.0,1,USD,stop,8,-11.38,0.7003,-12.0803,-6.151
QCOM,3,2026-02-06,137.34,2026-02-17,142.63,1,USD,target,11,5.29,0.7003,4.5897,3.342
AMZN,3,2026-02-10,206.96,2026-02-20,210.11,1,USD,time,10,3.15,0.7003,2.4497,1.184
GOOGL,3,2026-02-17,302.02,2026-02-20,314.98,1,USD,target,3,12.96,0.7003,12.2597,4.059
CRM,3,2026-02-11,185.0,2026-02-23,178.16,1,USD,time,12,-6.84,0.7003,-7.5403,-4.076
ADBE,3,2026-02-23,246.68,2026-02-24,255.17,1,USD,target,1,8.49,0.7003,7.7897,3.158
MA,1,2026-02-23,496.03,2026-02-26,514.77,1,USD,target,3,18.74,0.7003,18.0397,3.637
V,2,2026-02-23,306.52,2026-02-26,316.7,1,USD,target,3,10.18,0.7003,9.4797,3.093
TSLA,1,2026-03-03,392.43,2026-03-04,405.94,1,USD,target,1,13.51,0.7003,12.8097,3.264
HD,1,2026-03-05,361.68,2026-03-12,338.93,1,USD,stop,7,-22.75,0.7003,-23.4503,-6.484
DIS,2,2026-03-10,101.32,2026-03-20,99.51,1,USD,time,10,-1.81,0.7003,-2.5103,-2.478
JPM,3,2026-03-10,288.73,2026-03-20,286.56,1,USD,time,10,-2.17,0.7003,-2.8703,-0.994
HD,3,2026-03-12,338.93,2026-03-20,320.75,1,USD,stop,8,-18.18,0.7003,-18.8803,-5.571
HD,2,2026-03-20,320.75,2026-03-23,330.9,1,USD,target,3,10.15,0.7003,9.4497,2.946
PEP,1,2026-03-20,150.04,2026-03-30,156.82,1,USD,target,10,6.78,0.7003,6.0797,4.052
MCD,3,2026-03-20,308.85,2026-03-30,308.53,1,USD,time,10,-0.32,0.7003,-1.0203,-0.33
MSFT,2,2026-03-30,358.96,2026-03-31,370.17,1,USD,target,1,11.21,0.7003,10.5097,2.928
META,3,2026-03-30,536.38,2026-03-31,572.13,1,USD,target,1,35.75,0.7003,35.0497,6.534
PG,3,2026-03-23,143.99,2026-04-02,143.12,1,USD,time,10,-0.87,0.7003,-1.5703,-1.091
QCOM,1,2026-04-07,124.07,2026-04-10,128.06,1,USD,target,3,3.99,0.7003,3.2897,2.652
CRM,2,2026-04-08,176.37,2026-04-10,164.96,1,USD,stop,2,-11.41,0.7003,-12.1103,-6.866
CRM,1,2026-04-10,164.96,2026-04-13,172.82,1,USD,target,3,7.86,0.7003,7.1597,4.34
ADBE,2,2026-04-10,225.35,2026-04-13,240.11,1,USD,target,3,14.76,0.7003,14.0597,6.239
XOM,1,2026-04-14,149.24,2026-04-17,146.44,1,USD,mtm,3,-2.8,0.7003,-3.5003,-2.345
CVX,2,2026-04-14,187.02,2026-04-17,183.99,1,USD,mtm,3,-3.03,0.7003,-3.7303,-1.995
