symbol,slot,entry_date,entry_price,exit_date,exit_price,qty,currency,reason,days_held,gross_pnl,fees,net_pnl,net_pct
MCD,1,2024-05-29,249.37,2024-05-31,258.89,1,USD,target,2,9.52,0.7003,8.8197,3.537
CRM,3,2024-05-30,218.01,2024-05-31,234.44,1,USD,target,1,16.43,0.7003,15.7297,7.215
AMZN,2,2024-05-31,176.44,2024-06-06,185.0,1,USD,target,6,8.56,0.7003,7.8597,4.455
ADBE,3,2024-05-31,444.76,2024-06-06,458.13,1,USD,target,6,13.37,0.7003,12.6697,2.849
MA,2,2024-05-29,442.47,2024-06-10,449.25,1,USD,time,12,6.78,0.7003,6.0797,1.374
TSLA,2,2024-06-11,170.66,2024-06-12,177.29,1,USD,target,1,6.63,0.7003,5.9297,3.475
PEP,1,2024-06-10,165.9,2024-06-20,166.68,1,USD,time,10,0.78,0.7003,0.0797,0.048
V,1,2024-06-28,262.47,2024-07-05,270.36,1,USD,target,7,7.89,0.7003,7.1897,2.739
DIS,2,2024-07-01,98.04,2024-07-11,96.6,1,USD,time,10,-1.44,0.7003,-2.1403,-2.183
V,2,2024-07-11,262.55,2024-07-17,272.7,1,USD,target,6,10.15,0.7003,9.4497,3.599
DIS,1,2024-07-11,96.6,2024-07-22,94.13,1,USD,time,11,-2.47,0.7003,-3.1703,-3.282
DIS,3,2024-07-22,94.13,2024-07-25,89.21,1,USD,stop,3,-4.92,0.7003,-5.6203,-5.971
NFLX,2,2024-07-18,64.3,2024-07-29,62.7,2,USD,time,11,-3.2,0.7005,-3.9005,-3.033
AMZN,3,2024-07-18,183.75,2024-07-29,183.2,1,USD,time,11,-0.55,0.7003,-1.2503,-0.68
DIS,3,2024-07-25,89.21,2024-07-29,92.14,1,USD,target,4,2.93,0.7003,2.2297,2.499
AMD,2,2024-07-29,139.75,2024-07-31,144.48,1,USD,target,2,4.73,0.7003,4.0297,2.884
GOOGL,3,2024-07-29,169.53,2024-08-05,159.25,1,USD,stop,7,-10.28,0.7003,-10.9803,-6.477
MSFT,3,2024-07-31,418.35,2024-08-05,395.15,1,USD,stop,5,-23.2,0.7003,-23.9003,-5.713
INTC,2,2024-08-05,20.11,2024-08-07,18.99,5,USD,stop,2,-5.6,0.7013,-6.3013,-6.267
COST,1,2024-07-29,815.56,2024-08-08,839.43,1,USD,time,10,23.87,0.7003,23.1697,2.841
INTC,3,2024-08-07,18.99,2024-08-08,20.49,5,USD,target,1,7.5,0.7013,6.7987,7.16
AAPL,3,2024-08-05,209.27,2024-08-09,216.24,1,USD,target,4,6.97,0.7003,6.2697,2.996
INTC,2,2024-08-08,20.49,2024-08-12,19.36,5,USD,stop,4,-5.65,0.7013,-6.3513,-6.199
DIS,3,2024-08-08,85.96,2024-08-15,88.79,1,USD,target,7,2.83,0.7003,2.1297,2.478
AVGO,2,2024-09-06,137.0,2024-09-10,148.21,1,USD,target,4,11.21,0.7003,10.5097,7.671
GOOGL,3,2024-09-10,148.66,2024-09-12,154.69,1,USD,target,2,6.03,0.7003,5.3297,3.585
CRM,1,2024-09-05,246.12,2024-09-13,254.57,1,USD,target,8,8.45,0.7003,7.7497,3.149
CVX,3,2024-09-06,138.56,2024-09-16,142.09,1,USD,time,10,3.53,0.7003,2.8297,2.042
AAPL,1,2024-09-17,216.79,2024-09-19,228.87,1,USD,target,2,12.08,0.7003,11.3797,5.249
PEP,1,2024-09-24,169.92,2024-10-04,167.97,1,USD,time,10,-1.95,0.7003,-2.6503,-1.56
JNJ,2,2024-10-03,160.5,2024-10-14,161.6,1,USD,time,11,1.1,0.7003,0.3997,0.249
PG,2,2024-10-04,168.88,2024-10-14,172.51,1,USD,time,10,3.63,0.7003,2.9297,1.735
MSFT,3,2024-10-07,409.54,2024-10-17,416.72,1,USD,time,10,7.18,0.7003,6.4797,1.582
TSLA,2,2024-10-14,219.16,2024-10-24,260.48,1,USD,target,10,41.32,0.7003,40.6197,18.534
XOM,2,2024-10-29,117.28,2024-11-06,121.0,1,USD,target,8,3.72,0.7003,3.0197,2.575
KO,1,2024-10-29,65.56,2024-11-08,63.92,2,USD,time,10,-3.28,0.7005,-3.9805,-3.036
HD,3,2024-10-29,395.07,2024-11-08,405.9,1,USD,time,10,10.83,0.7003,10.1297,2.564
PG,3,2024-11-06,161.05,2024-11-08,167.71,1,USD,target,2,6.66,0.7003,5.9597,3.701
JNJ,1,2024-11-08,155.47,2024-11-18,154.77,1,USD,time,10,-0.7,0.7003,-1.4003,-0.901
KO,2,2024-11-15,61.74,2024-11-21,63.76,2,USD,target,6,4.04,0.7005,3.3395,2.704
PEP,3,2024-11-15,158.62,2024-11-25,163.05,1,USD,time,10,4.43,0.7003,3.7297,2.351
AVGO,1,2024-11-27,159.67,2024-12-02,166.51,1,USD,target,5,6.84,0.7003,6.1397,3.845
INTC,1,2024-12-04,21.96,2024-12-05,20.8,5,USD,stop,1,-5.8,0.7013,-6.5013,-5.921
